Date,ACWI Standard (Large+Mid Cap) 
2014-11-10,420.055
2014-11-11,420.366
2014-11-12,420.077
2014-11-13,420.193
2014-11-14,420.318
2014-11-17,419.609
2014-11-18,422.638
2014-11-19,421.926
2014-11-20,422.096
2014-11-21,425.311
2014-11-24,426.242
2014-11-25,426.746
2014-11-26,428.009
2014-11-27,427.317
2014-11-28,425.821
2014-12-01,422.836
2014-12-02,424.145
2014-12-03,425.027
2014-12-04,424.394
2014-12-05,424.752
2014-12-08,421.719
2014-12-09,420.22
2014-12-10,414.766
2014-12-11,414.335
2014-12-12,408.738
2014-12-15,403.61
2014-12-16,403.187
2014-12-17,407.265
2014-12-18,415.437
2014-12-19,418.196
2014-12-22,420.15
2014-12-23,420.082
2014-12-24,420.512
2014-12-25,420.39
2014-12-26,421.272
2014-12-29,422.049
2014-12-30,419.524
2014-12-31,417.12
2015-01-01,417.121
2015-01-02,415.918
2015-01-05,408.01
2015-01-06,404.051
2015-01-07,406.058
2015-01-08,413.842
2015-01-09,411.688
2015-01-12,409.874
2015-01-13,410.394
2015-01-14,407.404
2015-01-15,406.951
2015-01-16,409.62
2015-01-19,410.872
2015-01-20,411.825
2015-01-21,414.656
2015-01-22,418.52
2015-01-23,418.255
2015-01-26,419.21
2015-01-27,417.738
2015-01-28,413.918
2015-01-29,414.41
2015-01-30,410.328
2015-02-02,414.105
2015-02-03,419.243
2015-02-04,419.418
2015-02-05,422.185
2015-02-06,420.502
2015-02-09,418.861
2015-02-10,421.129
2015-02-11,419.946
2015-02-12,424.691
2015-02-13,427.786
2015-02-16,427.83
2015-02-17,428.199
2015-02-18,429.212
2015-02-19,429.602
2015-02-20,431.166
2015-02-23,431.618
2015-02-24,432.817
2015-02-25,433.463
2015-02-26,432.881
2015-02-27,432.474
2015-03-02,433.21
2015-03-03,431.351
2015-03-04,429.226
2015-03-05,429.769
2015-03-06,424.861
2015-03-09,424.286
2015-03-10,417.179
2015-03-11,416.763
2015-03-12,420.91
2015-03-13,418.58
2015-03-16,423.058
2015-03-17,422.688
2015-03-18,426.855
2015-03-19,426.618
2015-03-20,431.908
2015-03-23,432.925
2015-03-24,431.833
2015-03-25,428.254
2015-03-26,425.103
2015-03-27,424.888
2015-03-30,428.107
2015-03-31,424.758
2015-04-01,424.555
2015-04-02,427.453
2015-04-03,427.718
2015-04-06,431.353
2015-04-07,431.317
2015-04-08,432.469
2015-04-09,433.997
2015-04-10,435.931
2015-04-13,434.628
2015-04-14,436.113
2015-04-15,436.979
2015-04-16,438.287
2015-04-17,434.011
2015-04-20,435.818
2015-04-21,436.82
2015-04-22,438.118
2015-04-23,439.614
2015-04-24,441.565
2015-04-27,442.17
2015-04-28,442.631
2015-04-29,440.648
2015-04-30,436.296
2015-05-01,438.183
2015-05-04,439.032
2015-05-05,435.213
2015-05-06,434.744
2015-05-07,433.257
2015-05-08,439.276
2015-05-11,438.099
2015-05-12,436.868
2015-05-13,438.193
2015-05-14,441.22
2015-05-15,442.362
2015-05-18,442.615
2015-05-19,441.517
2015-05-20,441.35
2015-05-21,442.701
2015-05-22,441.322
2015-05-25,441.287
2015-05-26,435.927
2015-05-27,438.316
2015-05-28,437.387
2015-05-29,434.515
2015-06-01,434.232
2015-06-02,434.986
2015-06-03,436.44
2015-06-04,432.925
2015-06-05,429.378
2015-06-08,427.35
2015-06-09,426.952
2015-06-10,432.731
2015-06-11,433.279
2015-06-12,431.379
2015-06-15,428.111
2015-06-16,429.311
2015-06-17,429.155
2015-06-18,433.573
2015-06-19,432.181
2015-06-22,437.401
2015-06-23,437.527
2015-06-24,435.407
2015-06-25,434.25
2015-06-26,432.752
2015-06-29,423.349
2015-06-30,423.509
2015-07-01,426.015
2015-07-02,426.011
2015-07-03,425.079
2015-07-06,420.843
2015-07-07,419.239
2015-07-08,414.109
2015-07-09,417.124
2015-07-10,423.367
2015-07-13,427.188
2015-07-14,429.425
2015-07-15,429.013
2015-07-16,432.192
2015-07-17,431.955
2015-07-20,431.963
2015-07-21,431.222
2015-07-22,428.371
2015-07-23,427.183
2015-07-24,422.802
2015-07-27,419.379
2015-07-28,422.254
2015-07-29,425.639
2015-07-30,425.156
2015-07-31,426.781
2015-08-03,425.315
2015-08-04,424.915
2015-08-05,425.709
2015-08-06,423.186
2015-08-07,422.029
2015-08-10,426.354
2015-08-11,422.214
2015-08-12,419.874
2015-08-13,419.802
2015-08-14,420.293
2015-08-17,421.002
2015-08-18,419.633
2015-08-19,415.312
2015-08-20,408.567
2015-08-21,397.645
2015-08-24,382.361
2015-08-25,381.909
2015-08-26,388.964
2015-08-27,397.584
2015-08-28,399.561
2015-08-31,396.733
2015-09-01,386.167
2015-09-02,389.22
2015-09-03,391.029
2015-09-04,384.494
2015-09-07,384.647
2015-09-08,391.423
2015-09-09,392.544
2015-09-10,391.69
2015-09-11,391.957
2015-09-14,390.737
2015-09-15,393.688
2015-09-16,398.746
2015-09-17,398.767
2015-09-18,394.043
2015-09-21,392.994
2015-09-22,386.512
2015-09-23,384.851
2015-09-24,382.543
2015-09-25,384.3
2015-09-28,376.395
2015-09-29,374.058
2015-09-30,381.651
2015-10-01,383.232
2015-10-02,387.706
2015-10-05,395.123
2015-10-06,396.23
2015-10-07,399.982
2015-10-08,402.071
2015-10-09,404.805
2015-10-12,405.214
2015-10-13,401.802
2015-10-14,399.819
2015-10-15,405.492
2015-10-16,407.214
2015-10-19,406.514
2015-10-20,405.862
2015-10-21,404.598
2015-10-22,408.141
2015-10-23,412.392
2015-10-26,411.994
2015-10-27,409.858
2015-10-28,413.644
2015-10-29,411.345
2015-10-30,411.249
2015-11-02,413.403
2015-11-03,414.378
2015-11-04,413.954
2015-11-05,413.093
2015-11-06,411.157
2015-11-09,407.955
2015-11-10,407.243
2015-11-11,407.54
2015-11-12,403.115
2015-11-13,398.779
2015-11-16,401.283
2015-11-17,403.668
2015-11-18,406.977
2015-11-19,409.607
2015-11-20,410.398
2015-11-23,409.082
2015-11-24,408.597
2015-11-25,408.967
2015-11-26,410.367
2015-11-27,409.045
2015-11-30,407.197
2015-12-01,411.151
2015-12-02,407.956
2015-12-03,403.928
2015-12-04,407.183
2015-12-07,405.186
2015-12-08,401.138
2015-12-09,399.758
2015-12-10,399.35
2015-12-11,392.947
2015-12-14,391.63
2015-12-15,395.155
2015-12-16,400.467
2015-12-17,397.933
2015-12-18,392.845
2015-12-21,394.048
2015-12-22,396.645
2015-12-23,401.689
2015-12-24,402.274
2015-12-25,402.134
2015-12-28,401.31
2015-12-29,404.585
2015-12-30,402.192
2015-12-31,399.362
2016-01-01,399.366
2016-01-04,391.159
2016-01-05,391.14
2016-01-06,386.277
2016-01-07,377.915
2016-01-08,374.751
2016-01-11,373.099
2016-01-12,373.979
2016-01-13,370.512
2016-01-14,371.237
2016-01-15,364.472
2016-01-18,362.683
2016-01-19,364.613
2016-01-20,357.322
2016-01-21,358.449
2016-01-22,367.97
2016-01-25,364.838
2016-01-26,367.633
2016-01-27,367.052
2016-01-28,367.639
2016-01-29,375.017
2016-02-01,375.986
2016-02-02,369.307
